difficulty,grade,subject,language,question,optionA,optionB,optionC,optionD,correctOption,concept,hint
beginner,6,Physics,English,Match: (a) Freezing – (b) Melting – (c) Boiling – (d) Condensation,"(a)Liquid→Solid, (b)Solid→Liquid, (c)Liquid→Gas, (d)Gas→Liquid","(a)Gas→Liquid, (b)Solid→Gas, (c)Gas→Solid, (d)Liquid→Solid","(a)Solid→Gas, (b)Liquid→Gas, (c)Gas→Liquid, (d)Solid→Liquid","(a)Liquid→Gas, (b)Gas→Solid, (c)Solid→Liquid, (d)Liquid→Solid",1,Matter,Think about phase changes
beginner,6,Physics,English,"Assertion: Current flows only in a closed circuit. Reason: In open circuit, electrons cannot move.","A true, R explains A","A true, R false","A false, R true",Both false,1,Electricity,Torch example
beginner,6,Physics,English,Which of these is used to measure temperature?,Barometer,Hygrometer,Thermometer,Ammeter,3,Heat,Measures hotness
beginner,6,Physics,English,The instrument to measure force is,Spring balance,Thermometer,Ruler,Stopwatch,1,Force,Used in labs
beginner,6,Physics,English,Which one is a periodic motion?,Heartbeat,Car,Falling stone,Walking,1,Motion,Repeats regularly
beginner,6,Physics,English,How many states of matter are commonly seen in daily life?,2,3,4,5,2,Matter,"Solid, liquid, gas"
beginner,6,Physics,English,"Odd one out: Forest, Air, Water, Friction",Forest,Air,Water,Friction,4,Environment,Not a resource
beginner,6,Physics,English,Which energy is used in an electric bulb?,Light only,Heat only,Electrical → Light,Electrical → Sound,3,Electricity,Input → Output
beginner,6,Physics,English,Which is an example of physical change?,Cutting paper,Burning candle,Rusting iron,Cooking egg,1,Changes,Shape only
beginner,6,Physics,English,Assertion: Water expands on freezing. Reason: Ice is less dense than water.,"A true, R explains A","A true, R false","A false, R true",Both false,1,Water,Think about floating ice
beginner,7,Physics,English,Which of the following is a fundamental unit of measurement?,Kilogram,Newton,Joule,Watt,1,Measurements,SI base unit for mass is kilogram.
beginner,7,Physics,English,"Assertion: Work is said to be done when a force is applied and displacement occurs. Reason: If there is no displacement, work done is zero.","Both A and R are true, and R explains A","Both A and R are true, but R does not explain A","A is true, R is false","A is false, R is true",1,Work,Work needs both force and displacement.
beginner,7,Physics,English,Match the following: A) Watt B) Joule C) Newton D) Ampere,"A-Work, B-Power, C-Current, D-Force","A-Power, B-Work, C-Force, D-Current","A-Force, B-Power, C-Work, D-Current","A-Current, B-Joule, C-Force, D-Power",2,"Work, Power, Energy",Recall SI units.
beginner,7,Physics,English,Which one is the odd one out?,Kelvin,Celsius,Fahrenheit,Newton,4,Heat,Newton is not a temperature scale.
beginner,7,Physics,English,Which property of light is used in the working of a pinhole camera?,Diffraction,Reflection,Rectilinear propagation,Dispersion,3,Light,Light travels in straight lines.
beginner,7,Physics,English,Which of the following is NOT a luminous object?,Sun,Candle,Moon,Electric bulb,3,Light,Moon reflects sunlight.
beginner,7,Physics,English,How many statements are true? (i) Heat is a form of energy. (ii) Temperature measures degree of hotness. (iii) Kelvin is an SI unit of temperature. (iv) Fahrenheit is used in India.,1,2,3,4,3,Heat,First three are correct.
beginner,7,Physics,English,In which device does dispersion of light take place?,Plane mirror,Prism,Pinhole camera,Lens,2,Light,White light splits into seven colours.
beginner,7,Physics,English,Which unit is used to measure electrical current?,Volt,Coulomb,Ampere,Ohm,3,Electricity,SI unit of current is Ampere.
beginner,7,Physics,English,Assertion: Satellites revolve around planets due to gravitational force. Reason: The centrifugal force balances gravity.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Universe,Gravity holds satellites in orbit.
beginner,7,Physics,English,Which of the following is used to measure small lengths like thickness of paper?,Ruler,Vernier caliper,Measuring tape,Screw gauge,4,Measurements,Screw gauge is most precise.
beginner,7,Physics,English,Work is defined as the product of ___ and ___.,Force and time,Mass and distance,Force and displacement,Pressure and area,3,Work,Work = Force × Displacement.
beginner,7,Physics,English,Which of the following is an artificial satellite of Earth?,Moon,Mars,INSAT,Sun,3,Universe,INSAT is launched by ISRO.
beginner,7,Physics,English,Odd one out:,ISRO,NASA,ESA,Milky Way,4,Universe,Milky Way is a galaxy.
beginner,7,Physics,English,Which device is used to measure body temperature?,Hygrometer,Thermometer,Barometer,Galvanometer,2,Heat,Clinical thermometer is used.
beginner,7,Physics,English,Which of the following is NOT a conductor?,Copper,Aluminium,Plastic,Iron,3,Electricity,Plastic is an insulator.
beginner,7,Physics,English,How many statements are true? (i) Heat flows from hot to cold. (ii) Temperature is measured in Kelvin. (iii) Work = Force × Time. (iv) Energy is the capacity to do work.,2,3,4,1,2,"Heat, Work",Only (i) and (iv) are correct.
beginner,7,Physics,English,Which of these is the SI unit of power?,Joule,Watt,Volt,Ohm,2,Power,Power = Work / Time.
beginner,7,Physics,English,Which scientist discovered that white light is made up of seven colours?,Newton,Galileo,Einstein,Faraday,1,Light,Newton’s disc proves this.
beginner,7,Physics,English,Match the following: A) Barometer B) Ammeter C) Hygrometer D) Thermometer,"A-Pressure, B-Current, C-Humidity, D-Temperature","A-Humidity, B-Pressure, C-Temperature, D-Current","A-Current, B-Humidity, C-Pressure, D-Temperature","A-Temperature, B-Humidity, C-Pressure, D-Current",1,Measurements,Recall instrument uses.
beginner,7,Physics,English,Assertion: A plane mirror always forms virtual images. Reason: Light rays appear to come from behind the mirror.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Light,Virtual image is formed in mirror.
beginner,7,Physics,English,Odd one out:,X-rays,Microwaves,Infrared rays,Newton’s disc,4,Light,Disc is not an EM wave.
beginner,7,Physics,English,Which one produces a shadow?,Transparent object,Opaque object,Translucent object,Both (2) and (3),2,Light,Opaque blocks light fully.
beginner,7,Physics,English,In which scale is the boiling point of water 373?,Celsius,Fahrenheit,Kelvin,Rankine,3,Heat,100°C = 373 K.
beginner,7,Physics,English,What is the power if 100 J of work is done in 20 seconds?,2 W,5 W,10 W,20 W,2,Power,Power = Work / Time.
beginner,7,Physics,English,Which of the following is a natural source of light?,Tube light,Candle,Sun,Torch,3,Light,Sun is natural source.
beginner,7,Physics,English,How many planets are in our solar system?,7,8,9,10,2,Universe,Pluto is a dwarf planet.
beginner,7,Physics,English,Match the following: A) Joule B) Newton C) Watt D) Kelvin,"A-Work, B-Force, C-Power, D-Temperature","A-Force, B-Work, C-Power, D-Temperature","A-Power, B-Temperature, C-Work, D-Force","A-Work, B-Power, C-Force, D-Current",1,Measurements,Recall SI units.
beginner,7,Physics,English,Assertion: Energy can neither be created nor destroyed. Reason: Energy can be transformed from one form to another.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Energy,Law of conservation of energy.
beginner,7,Physics,English,Which type of mirror is used in vehicles as rear-view mirror?,Plane,Concave,Convex,None,3,Light,Convex mirror gives wide view.
beginner,7,Physics,English,Odd one out:,Satellite,Galaxy,Planet,Electron,4,Universe,Electron is not a celestial body.
beginner,7,Physics,English,Which instrument is used to measure electric potential difference?,Ammeter,Voltmeter,Galvanometer,Ohmmeter,2,Electricity,Volt = Joule per Coulomb.
beginner,7,Physics,English,How many true statements? (i) Electricity produces heat. (ii) Electricity produces magnetic effect. (iii) Electricity produces light. (iv) Electricity cannot produce sound.,1,2,3,4,3,Electricity,First three are true.
beginner,7,Physics,English,Which of these is NOT a galaxy?,Andromeda,Milky Way,Orion,Whirlpool,3,Universe,Orion is a constellation.
beginner,7,Physics,English,Assertion: Dispersion occurs when white light passes through a prism. Reason: Different colours have different speeds in glass.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Light,VIBGYOR forms due to refraction.
beginner,7,Physics,English,What is the SI unit of energy?,Joule,Watt,Volt,Newton,1,Energy,Energy measured in Joules.
beginner,7,Physics,English,Match the following: A) Sun B) Moon C) Earth D) INSAT,"A-Star, B-Natural satellite, C-Planet, D-Artificial satellite","A-Planet, B-Star, C-Natural satellite, D-Galaxy","A-Satellite, B-Planet, C-Star, D-Asteroid","A-Galaxy, B-Satellite, C-Planet, D-Star",1,Universe,Recall celestial objects.
beginner,7,Physics,English,Odd one out:,Ohm,Joule,Watt,Pascal,4,Measurements,Pascal is unit of pressure.
beginner,7,Physics,English,Which of the following is an insulator?,Copper,Aluminium,Rubber,Silver,3,Electricity,Rubber resists current.
beginner,7,Physics,English,Which scientist gave the three laws of motion?,Newton,Galileo,Kepler,Faraday,1,Work & Motion,Newton gave laws of motion.
beginner,7,Physics,English,What is the speed of light in vacuum (approx)?,3 × 10^8 m/s,3 × 10^6 m/s,3 × 10^5 m/s,3 × 10^4 m/s,1,Light,Constant speed in vacuum.
beginner,7,Physics,English,How many statements are true? (i) Sound travels faster than light. (ii) Earth is in Milky Way. (iii) Power = Work/Time. (iv) Moon has its own light.,1,2,3,4,2,Mixed,(ii) and (iii) are true.
beginner,7,Physics,English,Which is used to measure atmospheric pressure?,Barometer,Ammeter,Hygrometer,Manometer,1,Measurements,Barometer measures pressure.
beginner,7,Physics,English,Which one is the SI unit of electric resistance?,Volt,Ohm,Ampere,Joule,2,Electricity,Ohm’s law defines resistance.
beginner,7,Physics,English,Assertion: Shadows are always black. Reason: No light passes through opaque objects.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Light,Shadows form due to blocking.
beginner,7,Physics,English,Which of these is an example of potential energy?,Running boy,Moving car,Water stored in a dam,Blowing wind,3,Energy,Stored energy = potential.
beginner,7,Physics,English,Match the following: A) Ampere B) Ohm C) Volt D) Watt,"A-Current, B-Resistance, C-Potential difference, D-Power","A-Resistance, B-Current, C-Power, D-Voltage","A-Power, B-Volt, C-Current, D-Resistance","A-Current, B-Work, C-Energy, D-Force",1,Electricity,Recall SI units.
beginner,7,Physics,English,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,2,Universe,Mars looks red due to iron oxide.
beginner,7,Physics,English,Which scale is used in scientific research as the absolute temperature scale?,Celsius,Kelvin,Fahrenheit,Rankine,2,Heat,Kelvin = SI unit.
beginner,7,Physics,English,Which type of mirror is used by dentists to examine teeth?,Plane,Convex,Concave,Cylindrical,3,Light,Concave mirror gives magnified view.
intermediate,8,Physics,English,Which of the following is a contact force?,Gravitational force,Magnetic force,Friction,Electrostatic force,3,Forces,Friction requires surfaces in contact.
intermediate,8,Physics,English,Assertion: Pressure increases as area decreases. Reason: Pressure = Force / Area.,"Both A and R are true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Pressure,Inverse relation between area & pressure.
intermediate,8,Physics,English,Match the following: A) Pascal B) Newton C) Decibel D) Hertz,"A-Pressure, B-Force, C-Sound level, D-Frequency","A-Force, B-Pressure, C-Frequency, D-Sound level","A-Frequency, B-Force, C-Pressure, D-Sound","A-Sound, B-Pressure, C-Force, D-Frequency",1,Units,Recall SI units.
intermediate,8,Physics,English,Odd one out:,Friction,Air resistance,Gravitational force,Sliding force,3,Forces,Gravity is a non-contact force.
intermediate,8,Physics,English,Which of these increases friction?,Oil,Water,Sand on road,Grease,3,Friction,Rough surfaces increase friction.
intermediate,8,Physics,English,The pitch of a sound depends on its:,Amplitude,Frequency,Speed,Medium,2,Sound,Higher frequency = higher pitch.
intermediate,8,Physics,English,How many statements are true? (i) Lightning is an electric discharge. (ii) Friction can produce heat. (iii) Sound cannot travel in vacuum. (iv) Pressure is independent of area.,1,2,3,4,3,Mixed,First three are correct.
intermediate,8,Physics,English,Which gas is released during electrolysis of water at the cathode?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,2,Chemical effects of current,Hydrogen collects at cathode.
intermediate,8,Physics,English,Which mirror is used in torches?,Plane,Concave,Convex,Cylindrical,2,Light,Concave mirror focuses light.
intermediate,8,Physics,English,Assertion: Lightning conductors protect buildings. Reason: They safely transfer electric charge to the ground.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Natural phenomena,Lightning rods ground charges.
intermediate,8,Physics,English,Which of these is NOT a celestial body?,Star,Asteroid,River,Planet,3,Solar system,"River is on Earth, not space."
intermediate,8,Physics,English,Force is measured in:,Pascal,Newton,Joule,Watt,2,Forces,SI unit of force is Newton.
intermediate,8,Physics,English,Which reduces friction?,Ball bearings,Sand,Rough surface,Nails,1,Friction,Bearings make rolling friction.
intermediate,8,Physics,English,Odd one out:,Sound,Light,Heat,Pressure,4,Mixed,Pressure is not a form of energy.
intermediate,8,Physics,English,What is the speed of sound in air approximately?,330 m/s,3 × 10^8 m/s,3000 m/s,500 m/s,1,Sound,In dry air at 20°C.
intermediate,8,Physics,English,How many true statements? (i) Sound travels faster in solids. (ii) Echo is due to reflection. (iii) Frequency is measured in decibel. (iv) Lightning is static discharge.,2,3,4,1,2,"Sound, Lightning",(i) and (ii) true.
intermediate,8,Physics,English,Which instrument is used to measure sound level?,Thermometer,Barometer,Hygrometer,Sound level meter,4,Sound,Sound level in decibels.
intermediate,8,Physics,English,Which of these is an effect of electric current?,Magnetic,Heating,Chemical,All of these,4,Electricity,Current has multiple effects.
intermediate,8,Physics,English,Match the following: A) Concave mirror B) Convex mirror C) Prism D) Lens,"A-Torch, B-Rear-view, C-Dispersion, D-Refraction","A-Rear view, B-Torch, C-Lens, D-Prism","A-Refraction, B-Torch, C-Rear view, D-Dispersion","A-Prism, B-Lens, C-Torch, D-Refraction",1,Light,Recall uses.
intermediate,8,Physics,English,Assertion: Friction is a necessary evil. Reason: Friction causes wear and tear.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Friction,Friction is both useful & harmful.
intermediate,8,Physics,English,Which of the following is NOT an example of force?,Push,Pull,Pressure,Light,4,Forces,Light is not force.
intermediate,8,Physics,English,Which property of sound determines loudness?,Frequency,Amplitude,Speed,Pitch,2,Sound,Larger amplitude = louder.
intermediate,8,Physics,English,Which effect of electric current is used in electroplating?,Heating,Magnetic,Chemical,Optical,3,Chemical effects,Electroplating = chemical effect.
intermediate,8,Physics,English,In which mirror does the image always appear smaller?,Concave,Convex,Plane,None,2,Light,Convex mirror gives diminished image.
intermediate,8,Physics,English,Which planet is called the ‘Morning Star’?,Mars,Venus,Jupiter,Saturn,2,Solar system,Venus visible at dawn.
intermediate,8,Physics,English,How many true statements? (i) Pressure = Force / Area. (ii) Pressure is higher at sea level. (iii) A nail has less pressure than a shoe. (iv) Pressure decreases with height.,1,2,3,4,2,Pressure,Only (i) and (iv).
intermediate,8,Physics,English,Which is NOT a way to reduce friction?,Lubrication,Ball bearings,Making surface rough,Streamlining,3,Friction,Roughness increases friction.
intermediate,8,Physics,English,Which wave is sound?,Transverse,Longitudinal,Electromagnetic,None,2,Sound,Sound travels as compressions.
intermediate,8,Physics,English,Assertion: Lightning is a natural phenomenon. Reason: It occurs due to discharge between clouds and earth.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Lightning,Static discharge.
intermediate,8,Physics,English,Which of these is the odd one out?,Mars,Earth,Moon,Jupiter,3,Solar system,Moon is a satellite.
intermediate,8,Physics,English,Match the following: A) Hertz B) Decibel C) Newton D) Joule,"A-Frequency, B-Sound level, C-Force, D-Work","A-Sound, B-Frequency, C-Work, D-Force","A-Force, B-Work, C-Frequency, D-Sound","A-Power, B-Resistance, C-Sound, D-Heat",1,Units,Recall SI units.
intermediate,8,Physics,English,Which phenomenon causes echo?,Refraction,Reflection,Diffraction,Absorption,2,Sound,Echo = reflected sound.
intermediate,8,Physics,English,Electroplating is used for:,Decoration,Protection from rust,Both,None,3,Chemical effects,Gold/silver plating.
intermediate,8,Physics,English,Which of the following cannot travel through vacuum?,Light,Sound,Heat radiation,EM waves,2,Sound,Needs medium.
intermediate,8,Physics,English,Assertion: Stars appear to twinkle at night. Reason: Refraction of starlight by earth’s atmosphere.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Natural phenomena,Atmospheric refraction.
intermediate,8,Physics,English,Which of these is a natural satellite?,Moon,Mars,INSAT,Sun,1,Solar system,Moon orbits Earth.
intermediate,8,Physics,English,Which law explains why we slip on a wet floor?,Reflection law,Refraction law,Reduced friction,Conservation of energy,3,Friction,Smooth = less grip.
intermediate,8,Physics,English,Which mirror is used as a rear-view mirror in vehicles?,Plane,Concave,Convex,Cylindrical,3,Light,Convex gives wide view.
intermediate,8,Physics,English,How many true statements? (i) The moon is a star. (ii) Sound cannot travel in vacuum. (iii) Lightning is dangerous. (iv) Electrolysis splits water.,2,3,4,1,2,Mixed,"(ii), (iii), (iv) correct."
intermediate,8,Physics,English,Which of these is used to store charge?,Battery,Capacitor,Transformer,Generator,2,Electricity,Capacitors store charge.
intermediate,8,Physics,English,Which colour of light bends the most in a prism?,Red,Blue,Violet,Green,3,Light,Violet refracts most.
intermediate,8,Physics,English,Which is not a dwarf planet?,Pluto,Ceres,Eris,Neptune,4,Solar system,Neptune is a planet.
intermediate,8,Physics,English,Assertion: Lightning can cause fires. Reason: It carries high energy.,"Both A and R true, R explains A","Both A and R true, R doesn’t explain A","A true, R false","A false, R true",1,Lightning,Lightning carries huge energy.
intermediate,8,Physics,English,Unit of pressure is:,Newton,Pascal,Watt,Joule,2,Pressure,Pressure = N/m² = Pascal.
intermediate,8,Physics,English,Which surface has least friction?,Rough road,Polished ice,Sandpaper,Carpet,2,Friction,Ice is smooth.
intermediate,8,Physics,English,Which wave property determines pitch?,Wavelength,Frequency,Amplitude,Velocity,2,Sound,High frequency = high pitch.
intermediate,8,Physics,English,Which chemical effect is used in batteries?,Electroplating,Electrolysis,Heating,Magnetism,2,Chemical effects,Battery uses electrolysis.
intermediate,8,Physics,English,Match the following: A) Star B) Planet C) Satellite D) Galaxy,"A-Sun, B-Earth, C-Moon, D-Milky Way","A-Moon, B-Sun, C-Galaxy, D-Earth","A-Earth, B-Moon, C-Sun, D-Mars","A-Milky Way, B-Moon, C-Sun, D-Saturn",1,Solar system,Recall space objects.
intermediate,8,Physics,English,Odd one out:,Lightning,Rain,Sound,Earthquake,3,Natural phenomena,Sound is not weather-related.
intermediate,8,Physics,English,Which planet is largest in solar system?,Earth,Saturn,Jupiter,Neptune,3,Solar system,Jupiter is the biggest.
intermediate,9,Physics,English,The SI unit of velocity is:,m/s,m,s,km,1,Measurement,Velocity = distance/time
intermediate,9,Physics,English,Assertion (A): Area is a derived quantity. Reason (R): It is obtained by multiplying two lengths.,"A true, R true and R explains A","A true, R true but R doesn’t explain A","A true, R false","A false, R true",1,Measurement,Area = length × breadth
intermediate,9,Physics,English,"Match the following: (a) Density, (b) Momentum, (c) Pressure","(a) kg/m³, (b) kg·m/s, (c) N/m²","(a) N, (b) m/s, (c) kg","(a) m³, (b) N·s, (c) J","(a) s, (b) N/m², (c) m/s",1,Measurement,Recall SI units
intermediate,9,Physics,English,Odd one out:,Area,Volume,Mass,Velocity,4,Measurement,"Velocity is vector, others are scalar"
intermediate,9,Physics,English,"If a car moves 120 km in 2 hours, its average speed is:",30 km/h,40 km/h,60 km/h,120 km/h,3,Motion,Speed = distance/time
intermediate,9,Physics,English,"How many of the following are vectors? (Force, Speed, Velocity, Momentum)",1,2,3,4,3,Motion,"Force, velocity, momentum are vectors"
intermediate,9,Physics,English,The rate of change of momentum is:,Work,Energy,Force,Power,3,Motion,Newton’s 2nd law
intermediate,9,Physics,English,Assertion (A): A body at rest has zero velocity. Reason (R): Displacement per unit time is zero.,"A true, R true and R explains A","A true, R true but R doesn’t explain A","A true, R false","A false, R true",1,Motion,Velocity = displacement/time
intermediate,9,Physics,English,SI unit of pressure is:,Pascal,Joule,Newton,Watt,1,Forces & Gravitation,1 Pa = 1 N/m²
intermediate,9,Physics,English,Odd one out:,Force,Mass,Weight,Momentum,2,Forces & Gravitation,"Mass is scalar, others vectors"
intermediate,9,Physics,English,Archimedes’ principle is related to:,Pressure,Buoyancy,Gravity,Momentum,2,Gravitation,Explains flotation
intermediate,9,Physics,English,A liquid exerts pressure:,Only downwards,In all directions,Only upwards,No pressure,2,Pascal’s Law,Pressure acts equally in all directions
intermediate,9,Physics,English,"Match the following: (a) Pascal’s Law, (b) Archimedes’ Principle, (c) Gravitation","(a) Hydraulic lift, (b) Buoyancy, (c) Falling objects","(a) Flotation, (b) Pressure, (c) Work","(a) Energy, (b) Mass, (c) Volume","(a) Sound, (b) Density, (c) Force",1,Forces,Recall applications
intermediate,9,Physics,English,Assertion (A): A heavier body falls faster than a lighter one. Reason (R): Gravity depends on mass.,"A true, R true","A true, R false","A false, R true","A false, R false",2,Gravitation,g is same for all bodies
intermediate,9,Physics,English,Pressure in a fluid increases with:,Decreasing depth,Increasing depth,Same at all depths,Zero,2,Pascal’s Law,Pressure = hρg
intermediate,9,Physics,English,Work is said to be done only if:,Force is applied,Displacement occurs,Both force and displacement,None,3,Work,W = F × d
intermediate,9,Physics,English,Energy possessed by a moving body is:,Potential energy,Kinetic energy,Heat energy,Sound energy,2,Energy,KE = ½ mv²
intermediate,9,Physics,English,Odd one out:,Joule,Watt,Newton,Pascal,2,Work & Energy,Watt = power unit
intermediate,9,Physics,English,Assertion (A): A body lifted up has potential energy. Reason (R): Work is done against gravity.,"A true, R true and R explains A","A true, R true but R doesn’t explain A","A true, R false","A false, R true",1,Energy,PE = mgh
intermediate,9,Physics,English,Which is not a form of mechanical energy?,Kinetic energy,Potential energy,Heat energy,Both 1 & 2,3,Energy,Heat is not mechanical
